name,from_team,team,player_id,note,transaction_id,year
Casey Kotchman,Boston Red Sox,Seattle Mariners,425773,Boston Red Sox traded 1B Casey Kotchman to Seattle Mariners for Player To Be Named Later and LF Bill Hall.,31189,2010
Bill Hall,Seattle Mariners,Boston Red Sox,407849,Boston Red Sox traded 1B Casey Kotchman to Seattle Mariners for Player To Be Named Later and LF Bill Hall.,31189,2010
Aaron Cunningham,Oakland Athletics,San Diego Padres,488811,San Diego Padres Traded 3B Kevin Kouzmanoff to Oakland Athletics; Oakland Athletics Traded RF Aaron Cunningham and LF Scott Hairston to San Diego Padres and San Antonio Missions Traded 2B Eric Sogard to Midland RockHounds.,31447,2010
Kevin Kouzmanoff,San Diego Padres,Oakland Athletics,450260,San Diego Padres Traded 3B Kevin Kouzmanoff to Oakland Athletics; Oakland Athletics Traded RF Aaron Cunningham and LF Scott Hairston to San Diego Padres and San Antonio Missions Traded 2B Eric Sogard to Midland RockHounds.,31447,2010
Scott Hairston,Oakland Athletics,San Diego Padres,430668,San Diego Padres Traded 3B Kevin Kouzmanoff to Oakland Athletics; Oakland Athletics Traded RF Aaron Cunningham and LF Scott Hairston to San Diego Padres and San Antonio Missions Traded 2B Eric Sogard to Midland RockHounds.,31447,2010
Brian Bixler,Pittsburgh Pirates,Cleveland Indians,444448,Mahoning Valley Scrappers Traded 3B Jesus Brito to West Virginia Power and Pittsburgh Pirates Traded SS Brian Bixler to Cleveland Indians.,31464,2010
Merkin Valdez,San Francisco Giants,Toronto Blue Jays,429723,San Francisco Giants traded RHP Merkin Valdez to Toronto Blue Jays.,31509,2010
Brian Stokes,New York Mets,Los Angeles Angels,425530,Los Angeles Angels traded cash and CF Gary Matthews to New York Mets for RHP Brian Stokes.,31652,2010
Gary Matthews,Los Angeles Angels,New York Mets,150439,Los Angeles Angels traded cash and CF Gary Matthews to New York Mets for RHP Brian Stokes.,31652,2010
Greg Golson,Texas Rangers,New York Yankees,449172,Tampa Yankees Traded 1B Mitch Hilligoss to Bakersfield Blaze and Texas Rangers Traded RF Greg Golson to New York Yankees.,31763,2010
Aaron Miles,Oakland Athletics,Cincinnati Reds,425446,Cincinnati Reds traded 2B Adam Rosales and Willy Taveras to Oakland Athletics for 2B Aaron Miles.,31959,2010
Willy Taveras,Cincinnati Reds,Oakland Athletics,430838,Cincinnati Reds traded 2B Adam Rosales and Willy Taveras to Oakland Athletics for 2B Aaron Miles.,31959,2010
Adam Rosales,Cincinnati Reds,Oakland Athletics,489267,Cincinnati Reds traded 2B Adam Rosales and Willy Taveras to Oakland Athletics for 2B Aaron Miles.,31959,2010
Dana Eveland,Oakland Athletics,Toronto Blue Jays,445968,Oakland Athletics traded LHP Dana Eveland to Toronto Blue Jays.,32169,2010
Edwar Ramirez,New York Yankees,Texas Rangers,469735,New York Yankees traded RHP Edwar Ramirez to Texas Rangers.,32860,2010
Miguel Celestino,Seattle Mariners,Boston Red Sox,517530,Seattle Mariners traded RHP Miguel Celestino to Boston Red Sox.,33959,2010
Matt Treanor,Milwaukee Brewers,Oklahoma City RedHawks,276354,Milwaukee Brewers Traded C Matt Treanor to Oklahoma City RedHawks and Texas Rangers Traded SS Ray Olmedo to Nashville Sounds.,34436,2010
Ray Olmedo,Texas Rangers,Nashville Sounds,408232,Milwaukee Brewers Traded C Matt Treanor to Oklahoma City RedHawks and Texas Rangers Traded SS Ray Olmedo to Nashville Sounds.,34436,2010
Gregorio Petit,Oakland Athletics,Texas Rangers,463610,Texas Rangers traded RHP Edwar Ramirez to Oakland Athletics for SS Gregorio Petit.,34564,2010
Edwar Ramirez,Texas Rangers,Oakland Athletics,469735,Texas Rangers traded RHP Edwar Ramirez to Oakland Athletics for SS Gregorio Petit.,34564,2010
Kevin Frandsen,San Francisco Giants,Boston Red Sox,435623,San Francisco Giants traded 2B Kevin Frandsen to Boston Red Sox.,34696,2010
Andres Blanco,Chicago Cubs,Texas Rangers,433217,Chicago Cubs traded 2B Andres Blanco to Texas Rangers.,34790,2010
Nate Robertson,Detroit Tigers,Florida Marlins,425146,Jacksonville Suns Traded LHP Jay Voss to Erie SeaWolves and Detroit Tigers Traded LHP Nate Robertson to Florida Marlins.,34945,2010
