name,from_team,team,player_id,note,transaction_id,year
David Carpenter,Atlanta Braves,New York Yankees,502304,Atlanta Braves traded LHP Chasen Shreve and RHP David Carpenter to New York Yankees for LHP Manny Banuelos.,213889,2015
Chasen Shreve,Atlanta Braves,New York Yankees,592741,Atlanta Braves traded LHP Chasen Shreve and RHP David Carpenter to New York Yankees for LHP Manny Banuelos.,213889,2015
Manny Banuelos,New York Yankees,Atlanta Braves,544365,Atlanta Braves traded LHP Chasen Shreve and RHP David Carpenter to New York Yankees for LHP Manny Banuelos.,213889,2015
Kyle Kubitza,Atlanta Braves,Los Angeles Angels,605323,Atlanta Braves traded 3B Kyle Kubitza and Nate Hyatt to Los Angeles Angels for LHP Ricardo Sanchez.,214012,2015
Ricardo Sanchez,Los Angeles Angels,Atlanta Braves,645307,Atlanta Braves traded 3B Kyle Kubitza and Nate Hyatt to Los Angeles Angels for LHP Ricardo Sanchez.,214012,2015
Nate Hyatt,Atlanta Braves,Los Angeles Angels,571801,Atlanta Braves traded 3B Kyle Kubitza and Nate Hyatt to Los Angeles Angels for LHP Ricardo Sanchez.,214012,2015
Yunel Escobar,Tampa Bay Rays,Oakland Athletics,488862,"Tampa Bay Rays traded 2B Ben Zobrist and SS Yunel Escobar to Oakland Athletics for CF Boog Powell, SS Daniel Robertson, C John Jaso and cash.",214091,2015
John Jaso,Oakland Athletics,Tampa Bay Rays,444379,"Tampa Bay Rays traded 2B Ben Zobrist and SS Yunel Escobar to Oakland Athletics for CF Boog Powell, SS Daniel Robertson, C John Jaso and cash.",214091,2015
Ben Zobrist,Tampa Bay Rays,Oakland Athletics,450314,"Tampa Bay Rays traded 2B Ben Zobrist and SS Yunel Escobar to Oakland Athletics for CF Boog Powell, SS Daniel Robertson, C John Jaso and cash.",214091,2015
Daniel Robertson,Oakland Athletics,Tampa Bay Rays,621002,"Tampa Bay Rays traded 2B Ben Zobrist and SS Yunel Escobar to Oakland Athletics for CF Boog Powell, SS Daniel Robertson, C John Jaso and cash.",214091,2015
Boog Powell,Oakland Athletics,Tampa Bay Rays,621471,"Tampa Bay Rays traded 2B Ben Zobrist and SS Yunel Escobar to Oakland Athletics for CF Boog Powell, SS Daniel Robertson, C John Jaso and cash.",214091,2015
Chris Martin,Colorado Rockies,New York Yankees,455119,Colorado Rockies traded RHP Chris Martin to New York Yankees for cash.,214257,2015
Andrew Thurman,Houston Astros,Atlanta Braves,592806,"Atlanta Braves traded DH Evan Gattis and RHP James Hoyt to Houston Astros for RHP Mike Foltynewicz, 3B Rio Ruiz and RHP Andrew Thurman.",214338,2015
Lars Huijer,Seattle Mariners,Chicago Cubs,609044,Chicago Cubs traded LHP Mike Kickham to Seattle Mariners for RHP Lars Huijer.,214312,2015
Mike Kickham,Chicago Cubs,Seattle Mariners,592464,Chicago Cubs traded LHP Mike Kickham to Seattle Mariners for RHP Lars Huijer.,214312,2015
