name,from_team,team,player_id,note,transaction_id,year
Jason Frasor,Chicago White Sox,Toronto Blue Jays,430630,Chicago White Sox Traded RHP Jason Frasor to Toronto Blue Jays; Lansing Lugnuts Traded RHP Daniel Webb to Winston-Salem Dash and Bluefield Blue Jays Traded RHP Myles Jaye to Bristol White Sox.,108063,2012
Jai Miller,Oakland Athletics,Baltimore Orioles,455687,Oakland Athletics traded CF Jai Miller to Baltimore Orioles.,108105,2012
Brandon Snyder,Baltimore Orioles,Texas Rangers,474319,Baltimore Orioles traded 1B Brandon Snyder to Texas Rangers.,108107,2012
Chad Tracy,Texas Rangers,Colorado Rockies,501913,Colorado Rockies traded RHP Greg Reynolds to Texas Rangers for 1B Chad Tracy.,108217,2012
Greg Reynolds,Colorado Rockies,Texas Rangers,453353,Colorado Rockies traded RHP Greg Reynolds to Texas Rangers for 1B Chad Tracy.,108217,2012
Carlos Zambrano,Chicago Cubs,Miami Marlins,407296,Chicago Cubs traded RHP Carlos Zambrano to Miami Marlins for RHP Chris Volstad.,108198,2012
Chris Volstad,Miami Marlins,Chicago Cubs,458690,Chicago Cubs traded RHP Carlos Zambrano to Miami Marlins for RHP Chris Volstad.,108198,2012
Zach Cates,San Diego Padres,Chicago Cubs,592208,Chicago Cubs traded RHP Andrew Cashner and LF Kyung-Min Na to San Diego Padres for 1B Anthony Rizzo and RHP Zach Cates.,108244,2012
Anthony Rizzo,San Diego Padres,Chicago Cubs,519203,Chicago Cubs traded RHP Andrew Cashner and LF Kyung-Min Na to San Diego Padres for 1B Anthony Rizzo and RHP Zach Cates.,108244,2012
Andrew Cashner,Chicago Cubs,San Diego Padres,488768,Chicago Cubs traded RHP Andrew Cashner and LF Kyung-Min Na to San Diego Padres for 1B Anthony Rizzo and RHP Zach Cates.,108244,2012
Kyung-Min Na,Chicago Cubs,San Diego Padres,595776,Chicago Cubs traded RHP Andrew Cashner and LF Kyung-Min Na to San Diego Padres for 1B Anthony Rizzo and RHP Zach Cates.,108244,2012
Seth Smith,Colorado Rockies,Oakland Athletics,452234,Oakland Athletics traded RHP Guillermo Moscoso and LHP Josh Outman to Colorado Rockies for LF Seth Smith.,108503,2012
Josh Outman,Oakland Athletics,Colorado Rockies,489189,Oakland Athletics traded RHP Guillermo Moscoso and LHP Josh Outman to Colorado Rockies for LF Seth Smith.,108503,2012
Guillermo Moscoso,Oakland Athletics,Colorado Rockies,446861,Oakland Athletics traded RHP Guillermo Moscoso and LHP Josh Outman to Colorado Rockies for LF Seth Smith.,108503,2012
Kevin Slowey,Colorado Rockies,Cleveland Indians,458713,Cleveland Indians traded RHP Zach Putnam to Colorado Rockies for RHP Kevin Slowey.,108694,2012
Zach Putnam,Cleveland Indians,Colorado Rockies,474029,Cleveland Indians traded RHP Zach Putnam to Colorado Rockies for RHP Kevin Slowey.,108694,2012
Marco Scutaro,Boston Red Sox,Colorado Rockies,340192,Boston Red Sox traded 2B Marco Scutaro to Colorado Rockies for RHP Clayton Mortensen.,108705,2012
Clayton Mortensen,Colorado Rockies,Boston Red Sox,489150,Boston Red Sox traded 2B Marco Scutaro to Colorado Rockies for RHP Clayton Mortensen.,108705,2012
Vicente Campos,Seattle Mariners,New York Yankees,553883,New York Yankees traded C Jesus Montero and RHP Hector Noesi to Seattle Mariners for RHP Michael Pineda and RHP Jose Campos.,108756,2012
Michael Pineda,Seattle Mariners,New York Yankees,501381,New York Yankees traded C Jesus Montero and RHP Hector Noesi to Seattle Mariners for RHP Michael Pineda and RHP Jose Campos.,108756,2012
Jesus Montero,New York Yankees,Seattle Mariners,524968,New York Yankees traded C Jesus Montero and RHP Hector Noesi to Seattle Mariners for RHP Michael Pineda and RHP Jose Campos.,108756,2012
Hector Noesi,New York Yankees,Seattle Mariners,456051,New York Yankees traded C Jesus Montero and RHP Hector Noesi to Seattle Mariners for RHP Michael Pineda and RHP Jose Campos.,108756,2012
Wilson Valdez,Philadelphia Phillies,Cincinnati Reds,407832,Philadelphia Phillies traded SS Wilson Valdez to Cincinnati Reds for LHP Jeremy Horst.,108825,2012
Jeremy Horst,Cincinnati Reds,Philadelphia Phillies,456662,Philadelphia Phillies traded SS Wilson Valdez to Cincinnati Reds for LHP Jeremy Horst.,108825,2012
Russ Canzler,Tampa Bay Rays,Cleveland Indians,444453,Tampa Bay Rays traded 3B Russ Canzler to Cleveland Indians.,108965,2012
Matt Lindstrom,Colorado Rockies,Baltimore Orioles,434637,Baltimore Orioles traded RHP Jeremy Guthrie to Colorado Rockies for RHP Jason Hammel and RHP Matt Lindstrom.,109124,2012
Jeremy Guthrie,Baltimore Orioles,Colorado Rockies,425386,Baltimore Orioles traded RHP Jeremy Guthrie to Colorado Rockies for RHP Jason Hammel and RHP Matt Lindstrom.,109124,2012
Jason Hammel,Colorado Rockies,Baltimore Orioles,434628,Baltimore Orioles traded RHP Jeremy Guthrie to Colorado Rockies for RHP Jason Hammel and RHP Matt Lindstrom.,109124,2012
Diego Moreno,Pittsburgh Pirates,New York Yankees,514981,New York Yankees traded RHP A.J. Burnett to Pittsburgh Pirates for RHP Diego Moreno and OF Exicardo Cayones.,109360,2012
A.J. Burnett,New York Yankees,Pittsburgh Pirates,150359,New York Yankees traded RHP A.J. Burnett to Pittsburgh Pirates for RHP Diego Moreno and OF Exicardo Cayones.,109360,2012
Exicardo Cayones,Pittsburgh Pirates,New York Yankees,553870,New York Yankees traded RHP A.J. Burnett to Pittsburgh Pirates for RHP Diego Moreno and OF Exicardo Cayones.,109360,2012
Kelvin De La Cruz,Cleveland Indians,Texas Rangers,456061,Cleveland Indians traded LHP Kelvin De La Cruz to Texas Rangers.,109373,2012
Chris Carpenter,Chicago Cubs,Boston Red Sox,452764,Chicago Cubs traded RHP Chris Carpenter to Boston Red Sox.,109369,2012
Kelvin De La Cruz,Texas Rangers,Cleveland Indians,456061,Texas Rangers traded LHP Kelvin De La Cruz to Cleveland Indians.,110375,2012
Humberto Quintero,Houston Astros,Kansas City Royals,279827,Houston Astros traded CF Jason Bourgeois and C Humberto Quintero to Kansas City Royals for LHP Kevin Chapman.,110809,2012
Kevin Chapman,Kansas City Royals,Houston Astros,502087,Houston Astros traded CF Jason Bourgeois and C Humberto Quintero to Kansas City Royals for LHP Kevin Chapman.,110809,2012
Jason Bourgeois,Houston Astros,Kansas City Royals,430652,Houston Astros traded CF Jason Bourgeois and C Humberto Quintero to Kansas City Royals for LHP Kevin Chapman.,110809,2012
Greg Golson,Kansas City Royals,Chicago White Sox,449172,Kansas City Royals traded CF Greg Golson to Chicago White Sox.,111154,2012
Jairo Asencio,Atlanta Braves,Cleveland Indians,446003,Atlanta Braves traded RHP Jairo Asencio to Cleveland Indians for cash.,111454,2012
Ryota Igarashi,Pittsburgh Pirates,Toronto Blue Jays,579799,Pittsburgh Pirates traded RHP Ryota Igarashi to Toronto Blue Jays for cash.,111889,2012
Kyle Hudson,Texas Rangers,Tampa Bay Rays,543340,Texas Rangers traded LF Kyle Hudson to Tampa Bay Rays for cash.,112272,2012
Robby Rowland,Arizona Diamondbacks,Pittsburgh Pirates,592700,Arizona Diamondbacks traded RHP Robby Rowland to Pittsburgh Pirates.,112248,2012
J.J. Hoover,Atlanta Braves,Cincinnati Reds,543331,Cincinnati Reds traded 3B Juan Francisco to Atlanta Braves for RHP J.J. Hoover.,112283,2012
Juan Francisco,Cincinnati Reds,Atlanta Braves,464433,Cincinnati Reds traded 3B Juan Francisco to Atlanta Braves for RHP J.J. Hoover.,112283,2012
Christian Marrero,Chicago White Sox,Atlanta Braves,461842,Chicago White Sox traded 1B Christian Marrero to Atlanta Braves.,113450,2012
George Kontos,New York Yankees,San Francisco Giants,502004,New York Yankees traded RHP George Kontos to San Francisco Giants for C Chris Stewart.,113956,2012
Chris Stewart,San Francisco Giants,New York Yankees,455755,New York Yankees traded RHP George Kontos to San Francisco Giants for C Chris Stewart.,113956,2012
Brian Tallet,Pittsburgh Pirates,San Diego Padres,425226,Pittsburgh Pirates traded LHP Brian Tallet to San Diego Padres.,114746,2012
Jose Castro,Cincinnati Reds,Chicago White Sox,452765,Cincinnati Reds traded 2B Jose Castro to Chicago White Sox for cash.,114974,2012
Zach Miner,Kansas City Royals,Detroit Tigers,435261,Kansas City Royals traded RHP Zach Miner to Detroit Tigers.,115669,2012
Josh Bell,Baltimore Orioles,Arizona Diamondbacks,458679,Baltimore Orioles traded 3B Josh Bell to Arizona Diamondbacks for Player To Be Named Later.,115827,2012
Michael Bowden,Boston Red Sox,Chicago Cubs,476601,Chicago Cubs traded CF Marlon Byrd to Boston Red Sox for RHP Michael Bowden.,115832,2012
Marlon Byrd,Chicago Cubs,Boston Red Sox,407781,Chicago Cubs traded CF Marlon Byrd to Boston Red Sox for RHP Michael Bowden.,115832,2012
Alexi Amarista,Los Angeles Angels,San Diego Padres,506560,San Diego Padres traded RHP Ernesto Frieri to Los Angeles Angels for 2B Alexi Amarista and RHP Donn Roach.,116929,2012
Donn Roach,Los Angeles Angels,San Diego Padres,543698,San Diego Padres traded RHP Ernesto Frieri to Los Angeles Angels for 2B Alexi Amarista and RHP Donn Roach.,116929,2012
Ernesto Frieri,San Diego Padres,Los Angeles Angels,457117,San Diego Padres traded RHP Ernesto Frieri to Los Angeles Angels for 2B Alexi Amarista and RHP Donn Roach.,116929,2012
Ryan Spilborghs,Cleveland Indians,Texas Rangers,448676,Cleveland Indians traded RF Ryan Spilborghs to Texas Rangers for cash.,116958,2012
Scott Podsednik,Philadelphia Phillies,Boston Red Sox,325392,Philadelphia Phillies traded CF Scott Podsednik to Boston Red Sox for cash.,117854,2012
Mike Belfiore,Arizona Diamondbacks,Baltimore Orioles,506988,Arizona Diamondbacks traded LHP Mike Belfiore to Baltimore Orioles.,117871,2012
Jeff Larish,Boston Red Sox,Pittsburgh Pirates,460252,Boston Red Sox traded 1B Jeff Larish to Pittsburgh Pirates.,117848,2012
Rich Thompson,Philadelphia Phillies,Tampa Bay Rays,430829,Philadelphia Phillies traded LF Rich Thompson to Tampa Bay Rays.,118312,2012
Koyie Hill,Cincinnati Reds,Chicago Cubs,425542,Cincinnati Reds traded C Koyie Hill to Chicago Cubs.,118556,2012
Drew Sutton,Atlanta Braves,Pittsburgh Pirates,450300,Atlanta Braves traded 3B Drew Sutton to Pittsburgh Pirates for cash.,118705,2012
Drew Sutton,Pittsburgh Pirates,Tampa Bay Rays,450300,Pittsburgh Pirates traded 3B Drew Sutton to Tampa Bay Rays for cash.,118759,2012
Steve Pearce,New York Yankees,Baltimore Orioles,456665,New York Yankees traded LF Steve Pearce to Baltimore Orioles.,121320,2012
Ruben Gotay,Toronto Blue Jays,Atlanta Braves,430905,Toronto Blue Jays traded 2B Ruben Gotay to Atlanta Braves.,121498,2012
Kris Watts,Pittsburgh Pirates,Washington Nationals,502454,Pittsburgh Pirates traded C Kris Watts to Washington Nationals for cash.,121916,2012
Esmil Rogers,Colorado Rockies,Cleveland Indians,469134,Colorado Rockies traded RHP Esmil Rogers to Cleveland Indians for cash.,122708,2012
Sean O'Sullivan,Kansas City Royals,Toronto Blue Jays,457711,Kansas City Royals traded RHP Sean O'Sullivan to Toronto Blue Jays.,126161,2012
Brent Lillibridge,Chicago White Sox,Boston Red Sox,452121,Boston Red Sox traded 3B Kevin Youkilis to Chicago White Sox for CF Brent Lillibridge and RHP Zach Stewart.,126626,2012
