name,from_team,team,player_id,note,transaction_id,year
Joe Martinez,Pittsburgh Pirates,Cleveland Indians,458155,Pittsburgh Pirates traded RHP Joe Martinez to Cleveland Indians.,76057,2011
Fernando Perez,Tampa Bay Rays,Chicago Cubs,445010,"Hudson Valley Renegades Traded LHP Zac Rosscup to Boise Hawks; Tampa Bay Rays Traded CF Fernando Perez and RHP Matt Garza to Chicago Cubs; Peoria Chiefs Traded SS Hak-Ju Lee to Bowling Green Hot Rods and Chicago Cubs Traded RF Brandon Guyer, RHP Chris Archer, C Robinson Chirinos and LF Sam Fuld to Tampa Bay Rays.",76175,2011
Chris Archer,Chicago Cubs,Tampa Bay Rays,502042,"Hudson Valley Renegades Traded LHP Zac Rosscup to Boise Hawks; Tampa Bay Rays Traded CF Fernando Perez and RHP Matt Garza to Chicago Cubs; Peoria Chiefs Traded SS Hak-Ju Lee to Bowling Green Hot Rods and Chicago Cubs Traded RF Brandon Guyer, RHP Chris Archer, C Robinson Chirinos and LF Sam Fuld to Tampa Bay Rays.",76175,2011
Sam Fuld,Chicago Cubs,Tampa Bay Rays,453539,"Hudson Valley Renegades Traded LHP Zac Rosscup to Boise Hawks; Tampa Bay Rays Traded CF Fernando Perez and RHP Matt Garza to Chicago Cubs; Peoria Chiefs Traded SS Hak-Ju Lee to Bowling Green Hot Rods and Chicago Cubs Traded RF Brandon Guyer, RHP Chris Archer, C Robinson Chirinos and LF Sam Fuld to Tampa Bay Rays.",76175,2011
Brandon Guyer,Chicago Cubs,Tampa Bay Rays,446386,"Hudson Valley Renegades Traded LHP Zac Rosscup to Boise Hawks; Tampa Bay Rays Traded CF Fernando Perez and RHP Matt Garza to Chicago Cubs; Peoria Chiefs Traded SS Hak-Ju Lee to Bowling Green Hot Rods and Chicago Cubs Traded RF Brandon Guyer, RHP Chris Archer, C Robinson Chirinos and LF Sam Fuld to Tampa Bay Rays.",76175,2011
Guillermo Moscoso,Texas Rangers,Oakland Athletics,446861,Texas Rangers Traded RHP Guillermo Moscoso to Oakland Athletics and Burlington Bees Traded RHP Ryan Kelly to Hickory Crawdads.,76172,2011
Matt Garza,Tampa Bay Rays,Chicago Cubs,490063,"Hudson Valley Renegades Traded LHP Zac Rosscup to Boise Hawks; Tampa Bay Rays Traded CF Fernando Perez and RHP Matt Garza to Chicago Cubs; Peoria Chiefs Traded SS Hak-Ju Lee to Bowling Green Hot Rods and Chicago Cubs Traded RF Brandon Guyer, RHP Chris Archer, C Robinson Chirinos and LF Sam Fuld to Tampa Bay Rays.",76175,2011
Robinson Chirinos,Chicago Cubs,Tampa Bay Rays,455139,"Hudson Valley Renegades Traded LHP Zac Rosscup to Boise Hawks; Tampa Bay Rays Traded CF Fernando Perez and RHP Matt Garza to Chicago Cubs; Peoria Chiefs Traded SS Hak-Ju Lee to Bowling Green Hot Rods and Chicago Cubs Traded RF Brandon Guyer, RHP Chris Archer, C Robinson Chirinos and LF Sam Fuld to Tampa Bay Rays.",76175,2011
Albert Cartwright,Houston Astros,Philadelphia Phillies,502619,Philadelphia Phillies traded LHP Sergio Escalona to Houston Astros for 2B Albert Cartwright.,76199,2011
Sergio Escalona,Philadelphia Phillies,Houston Astros,465065,Philadelphia Phillies traded LHP Sergio Escalona to Houston Astros for 2B Albert Cartwright.,76199,2011
Tom Gorzelanny,Chicago Cubs,Washington Nationals,452733,Chicago Cubs Traded LHP Tom Gorzelanny to Washington Nationals; Harrisburg Senators Traded RF Michael Burgess to Tennessee Smokies; Hagerstown Suns Traded LHP Graham Hicks to Peoria Chiefs and Potomac Nationals Traded RHP A.J. Morris to Daytona Cubs.,76407,2011
Mike Napoli,Los Angeles Angels,Toronto Blue Jays,435063,Toronto Blue Jays traded CF Vernon Wells to Los Angeles Angels for C Mike Napoli and LF Juan Rivera.,76475,2011
Juan Rivera,Los Angeles Angels,Toronto Blue Jays,407487,Toronto Blue Jays traded CF Vernon Wells to Los Angeles Angels for C Mike Napoli and LF Juan Rivera.,76475,2011
Vernon Wells,Toronto Blue Jays,Los Angeles Angels,150484,Toronto Blue Jays traded CF Vernon Wells to Los Angeles Angels for C Mike Napoli and LF Juan Rivera.,76475,2011
Clayton Mortensen,Oakland Athletics,Colorado Rockies,489150,Oakland Athletics Traded RHP Clayton Mortensen to Colorado Rockies and Modesto Nuts Traded RHP Ethan Hollingsworth to Stockton Ports.,76506,2011
Armando Galarraga,Detroit Tigers,Arizona Diamondbacks,451482,Detroit Tigers Traded RHP Armando Galarraga to Arizona Diamondbacks; Yakima Bears Traded RHP Kevin Eichhorn to Connecticut Tigers and Visalia Rawhide Traded LHP Ryan Robowski to Lakeland Flying Tigers.,76499,2011
Frank Francisco,Texas Rangers,Toronto Blue Jays,407911,Toronto Blue Jays traded C Mike Napoli to Texas Rangers for cash and RHP Frank Francisco.,76516,2011
Mike Napoli,Toronto Blue Jays,Texas Rangers,435063,Toronto Blue Jays traded C Mike Napoli to Texas Rangers for cash and RHP Frank Francisco.,76516,2011
Justin Maxwell,Washington Nationals,New York Yankees,452239,Washington Nationals Traded CF Justin Maxwell to New York Yankees and Trenton Thunder Traded RHP Adam Olbrychowski to Harrisburg Senators.,76788,2011
Robert Coello,Boston Red Sox,Chicago Cubs,445193,Boston Red Sox Traded RHP Robert Coello to Chicago Cubs and Tennessee Smokies Traded 2B Tony Thomas to Portland Sea Dogs.,77098,2011
Aaron Laffey,Cleveland Indians,Seattle Mariners,444836,Cleveland Indians Traded LHP Aaron Laffey to Seattle Mariners and Jackson Generals Traded 2B Matt Lawson to Akron Aeros.,77917,2011
Gaby Hernandez,Kansas City Royals,Charlotte Knights,455100,Kansas City Royals traded RHP Gaby Hernandez to Charlotte Knights.,79813,2011
Sergio Mitre,New York Yankees,Milwaukee Brewers,429901,Milwaukee Brewers traded LF Chris Dickerson to New York Yankees for RHP Sergio Mitre.,79746,2011
Chris Dickerson,Milwaukee Brewers,New York Yankees,447736,Milwaukee Brewers traded LF Chris Dickerson to New York Yankees for RHP Sergio Mitre.,79746,2011
Nyjer Morgan,Washington Nationals,Milwaukee Brewers,460579,Washington Nationals Traded CF Nyjer Morgan to Milwaukee Brewers and Wisconsin Timber Rattlers Traded DH Cutter Dykstra to Potomac Nationals.,79893,2011
Joe Inglett,Tampa Bay Rays,Houston Astros,446928,Tampa Bay Rays traded RF Joe Inglett to Houston Astros.,79913,2011
Josh Fields,Pittsburgh Pirates,Colorado Springs Sky Sox,435222,Pittsburgh Pirates traded 3B Josh Fields to Colorado Springs Sky Sox.,80026,2011
Matt Treanor,Texas Rangers,Kansas City Royals,276354,Texas Rangers traded C Matt Treanor to Kansas City Royals.,79987,2011
