name,from_team,team,player_id,note
Jason Frasor,Chicago White Sox,Toronto Blue Jays,430630,Chicago White Sox Traded RHP Jason Frasor to Toronto Blue Jays; Lansing Lugnuts Traded RHP Daniel Webb to Winston-Salem Dash and Bluefield Blue Jays Traded RHP Myles Jaye to Bristol White Sox.
Jai Miller,Oakland Athletics,Baltimore Orioles,455687,Oakland Athletics traded CF Jai Miller to Baltimore Orioles.
Brandon Snyder,Baltimore Orioles,Texas Rangers,474319,Baltimore Orioles traded 1B Brandon Snyder to Texas Rangers.
Chris Volstad,Miami Marlins,Chicago Cubs,458690,Chicago Cubs traded RHP Carlos Zambrano to Miami Marlins for RHP Chris Volstad.
Carlos Zambrano,Chicago Cubs,Miami Marlins,407296,Chicago Cubs traded RHP Carlos Zambrano to Miami Marlins for RHP Chris Volstad.
Chad Tracy,Texas Rangers,Colorado Rockies,501913,Colorado Rockies traded RHP Greg Reynolds to Texas Rangers for 1B Chad Tracy.
Greg Reynolds,Colorado Rockies,Texas Rangers,453353,Colorado Rockies traded RHP Greg Reynolds to Texas Rangers for 1B Chad Tracy.
Kyung-Min Na,Chicago Cubs,San Diego Padres,595776,Chicago Cubs traded RHP Andrew Cashner and LF Kyung-Min Na to San Diego Padres for 1B Anthony Rizzo and RHP Zach Cates.
Anthony Rizzo,San Diego Padres,Chicago Cubs,519203,Chicago Cubs traded RHP Andrew Cashner and LF Kyung-Min Na to San Diego Padres for 1B Anthony Rizzo and RHP Zach Cates.
Zach Cates,San Diego Padres,Chicago Cubs,592208,Chicago Cubs traded RHP Andrew Cashner and LF Kyung-Min Na to San Diego Padres for 1B Anthony Rizzo and RHP Zach Cates.
Andrew Cashner,Chicago Cubs,San Diego Padres,488768,Chicago Cubs traded RHP Andrew Cashner and LF Kyung-Min Na to San Diego Padres for 1B Anthony Rizzo and RHP Zach Cates.
Guillermo Moscoso,Oakland Athletics,Colorado Rockies,446861,Oakland Athletics traded RHP Guillermo Moscoso and LHP Josh Outman to Colorado Rockies for LF Seth Smith.
Josh Outman,Oakland Athletics,Colorado Rockies,489189,Oakland Athletics traded RHP Guillermo Moscoso and LHP Josh Outman to Colorado Rockies for LF Seth Smith.
Seth Smith,Colorado Rockies,Oakland Athletics,452234,Oakland Athletics traded RHP Guillermo Moscoso and LHP Josh Outman to Colorado Rockies for LF Seth Smith.
Zach Putnam,Cleveland Indians,Colorado Rockies,474029,Cleveland Indians traded RHP Zach Putnam to Colorado Rockies for RHP Kevin Slowey.
Kevin Slowey,Colorado Rockies,Cleveland Indians,458713,Cleveland Indians traded RHP Zach Putnam to Colorado Rockies for RHP Kevin Slowey.
Marco Scutaro,Boston Red Sox,Colorado Rockies,340192,Boston Red Sox traded 2B Marco Scutaro to Colorado Rockies for RHP Clayton Mortensen.
Clayton Mortensen,Colorado Rockies,Boston Red Sox,489150,Boston Red Sox traded 2B Marco Scutaro to Colorado Rockies for RHP Clayton Mortensen.
Vicente Campos,Seattle Mariners,New York Yankees,553883,New York Yankees traded C Jesus Montero and RHP Hector Noesi to Seattle Mariners for RHP Michael Pineda and RHP Jose Campos.
Michael Pineda,Seattle Mariners,New York Yankees,501381,New York Yankees traded C Jesus Montero and RHP Hector Noesi to Seattle Mariners for RHP Michael Pineda and RHP Jose Campos.
Hector Noesi,New York Yankees,Seattle Mariners,456051,New York Yankees traded C Jesus Montero and RHP Hector Noesi to Seattle Mariners for RHP Michael Pineda and RHP Jose Campos.
Jesus Montero,New York Yankees,Seattle Mariners,524968,New York Yankees traded C Jesus Montero and RHP Hector Noesi to Seattle Mariners for RHP Michael Pineda and RHP Jose Campos.
Wilson Valdez,Philadelphia Phillies,Cincinnati Reds,407832,Philadelphia Phillies traded SS Wilson Valdez to Cincinnati Reds for LHP Jeremy Horst.
Jeremy Horst,Cincinnati Reds,Philadelphia Phillies,456662,Philadelphia Phillies traded SS Wilson Valdez to Cincinnati Reds for LHP Jeremy Horst.
Russ Canzler,Tampa Bay Rays,Cleveland Indians,444453,Tampa Bay Rays traded 3B Russ Canzler to Cleveland Indians.
Matt Lindstrom,Colorado Rockies,Baltimore Orioles,434637,Baltimore Orioles traded RHP Jeremy Guthrie to Colorado Rockies for RHP Jason Hammel and RHP Matt Lindstrom.
Jeremy Guthrie,Baltimore Orioles,Colorado Rockies,425386,Baltimore Orioles traded RHP Jeremy Guthrie to Colorado Rockies for RHP Jason Hammel and RHP Matt Lindstrom.
Jason Hammel,Colorado Rockies,Baltimore Orioles,434628,Baltimore Orioles traded RHP Jeremy Guthrie to Colorado Rockies for RHP Jason Hammel and RHP Matt Lindstrom.
Diego Moreno,Pittsburgh Pirates,New York Yankees,514981,New York Yankees traded RHP A.J. Burnett to Pittsburgh Pirates for RHP Diego Moreno and OF Exicardo Cayones.
A.J. Burnett,New York Yankees,Pittsburgh Pirates,150359,New York Yankees traded RHP A.J. Burnett to Pittsburgh Pirates for RHP Diego Moreno and OF Exicardo Cayones.
Exicardo Cayones,Pittsburgh Pirates,New York Yankees,553870,New York Yankees traded RHP A.J. Burnett to Pittsburgh Pirates for RHP Diego Moreno and OF Exicardo Cayones.
Kelvin De La Cruz,Cleveland Indians,Texas Rangers,456061,Cleveland Indians traded LHP Kelvin De La Cruz to Texas Rangers.
Chris Carpenter,Chicago Cubs,Boston Red Sox,452764,Chicago Cubs traded RHP Chris Carpenter to Boston Red Sox.
Kelvin De La Cruz,Texas Rangers,Cleveland Indians,456061,Texas Rangers traded LHP Kelvin De La Cruz to Cleveland Indians.
Humberto Quintero,Houston Astros,Kansas City Royals,279827,Houston Astros traded CF Jason Bourgeois and C Humberto Quintero to Kansas City Royals for LHP Kevin Chapman.
Kevin Chapman,Kansas City Royals,Houston Astros,502087,Houston Astros traded CF Jason Bourgeois and C Humberto Quintero to Kansas City Royals for LHP Kevin Chapman.
Jason Bourgeois,Houston Astros,Kansas City Royals,430652,Houston Astros traded CF Jason Bourgeois and C Humberto Quintero to Kansas City Royals for LHP Kevin Chapman.
Greg Golson,Kansas City Royals,Chicago White Sox,449172,Kansas City Royals traded CF Greg Golson to Chicago White Sox.
Jairo Asencio,Atlanta Braves,Cleveland Indians,446003,Atlanta Braves traded RHP Jairo Asencio to Cleveland Indians for cash.
Ryota Igarashi,Pittsburgh Pirates,Toronto Blue Jays,579799,Pittsburgh Pirates traded RHP Ryota Igarashi to Toronto Blue Jays for cash.
Robby Rowland,Arizona Diamondbacks,Pittsburgh Pirates,592700,Arizona Diamondbacks traded RHP Robby Rowland to Pittsburgh Pirates.
Kyle Hudson,Texas Rangers,Tampa Bay Rays,543340,Texas Rangers traded LF Kyle Hudson to Tampa Bay Rays for cash.
Juan Francisco,Cincinnati Reds,Atlanta Braves,464433,Cincinnati Reds traded 3B Juan Francisco to Atlanta Braves for RHP J.J. Hoover.
J.J. Hoover,Atlanta Braves,Cincinnati Reds,543331,Cincinnati Reds traded 3B Juan Francisco to Atlanta Braves for RHP J.J. Hoover.
Christian Marrero,Chicago White Sox,Atlanta Braves,461842,Chicago White Sox traded 1B Christian Marrero to Atlanta Braves.
Chris Stewart,San Francisco Giants,New York Yankees,455755,New York Yankees traded RHP George Kontos to San Francisco Giants for C Chris Stewart.
George Kontos,New York Yankees,San Francisco Giants,502004,New York Yankees traded RHP George Kontos to San Francisco Giants for C Chris Stewart.
Brian Tallet,Pittsburgh Pirates,San Diego Padres,425226,Pittsburgh Pirates traded LHP Brian Tallet to San Diego Padres.
Jose Castro,Cincinnati Reds,Chicago White Sox,452765,Cincinnati Reds traded 2B Jose Castro to Chicago White Sox for cash.
Zach Miner,Kansas City Royals,Detroit Tigers,435261,Kansas City Royals traded RHP Zach Miner to Detroit Tigers.
Michael Bowden,Boston Red Sox,Chicago Cubs,476601,Chicago Cubs traded CF Marlon Byrd to Boston Red Sox for RHP Michael Bowden.
Marlon Byrd,Chicago Cubs,Boston Red Sox,407781,Chicago Cubs traded CF Marlon Byrd to Boston Red Sox for RHP Michael Bowden.
Josh Bell,Baltimore Orioles,Arizona Diamondbacks,458679,Baltimore Orioles traded 3B Josh Bell to Arizona Diamondbacks for Player To Be Named Later.
Donn Roach,Los Angeles Angels,San Diego Padres,543698,San Diego Padres traded RHP Ernesto Frieri to Los Angeles Angels for 2B Alexi Amarista and RHP Donn Roach.
Alexi Amarista,Los Angeles Angels,San Diego Padres,506560,San Diego Padres traded RHP Ernesto Frieri to Los Angeles Angels for 2B Alexi Amarista and RHP Donn Roach.
