name,from_team,team,player_id,note
David Carpenter,Atlanta Braves,New York Yankees,502304,Atlanta Braves traded LHP Chasen Shreve and RHP David Carpenter to New York Yankees for LHP Manny Banuelos.
Chasen Shreve,Atlanta Braves,New York Yankees,592741,Atlanta Braves traded LHP Chasen Shreve and RHP David Carpenter to New York Yankees for LHP Manny Banuelos.
Manny Banuelos,New York Yankees,Atlanta Braves,544365,Atlanta Braves traded LHP Chasen Shreve and RHP David Carpenter to New York Yankees for LHP Manny Banuelos.
Nate Hyatt,Atlanta Braves,Los Angeles Angels,571801,Atlanta Braves traded 3B Kyle Kubitza and Nate Hyatt to Los Angeles Angels for LHP Ricardo Sanchez.
Kyle Kubitza,Atlanta Braves,Los Angeles Angels,605323,Atlanta Braves traded 3B Kyle Kubitza and Nate Hyatt to Los Angeles Angels for LHP Ricardo Sanchez.
Ricardo Sanchez,Los Angeles Angels,Atlanta Braves,645307,Atlanta Braves traded 3B Kyle Kubitza and Nate Hyatt to Los Angeles Angels for LHP Ricardo Sanchez.
Yunel Escobar,Tampa Bay Rays,Oakland Athletics,488862,"Tampa Bay Rays traded 2B Ben Zobrist and SS Yunel Escobar to Oakland Athletics for CF Boog Powell, SS Daniel Robertson, C John Jaso and cash."
John Jaso,Oakland Athletics,Tampa Bay Rays,444379,"Tampa Bay Rays traded 2B Ben Zobrist and SS Yunel Escobar to Oakland Athletics for CF Boog Powell, SS Daniel Robertson, C John Jaso and cash."
Ben Zobrist,Tampa Bay Rays,Oakland Athletics,450314,"Tampa Bay Rays traded 2B Ben Zobrist and SS Yunel Escobar to Oakland Athletics for CF Boog Powell, SS Daniel Robertson, C John Jaso and cash."
Daniel Robertson,Oakland Athletics,Tampa Bay Rays,621002,"Tampa Bay Rays traded 2B Ben Zobrist and SS Yunel Escobar to Oakland Athletics for CF Boog Powell, SS Daniel Robertson, C John Jaso and cash."
Boog Powell,Oakland Athletics,Tampa Bay Rays,621471,"Tampa Bay Rays traded 2B Ben Zobrist and SS Yunel Escobar to Oakland Athletics for CF Boog Powell, SS Daniel Robertson, C John Jaso and cash."
Chris Martin,Colorado Rockies,New York Yankees,455119,Colorado Rockies traded RHP Chris Martin to New York Yankees for cash.
Mike Foltynewicz,Houston Astros,Atlanta Braves,592314,"Atlanta Braves traded DH Evan Gattis and RHP James Hoyt to Houston Astros for RHP Mike Foltynewicz, 3B Rio Ruiz and RHP Andrew Thurman."
James Hoyt,Atlanta Braves,Houston Astros,624586,"Atlanta Braves traded DH Evan Gattis and RHP James Hoyt to Houston Astros for RHP Mike Foltynewicz, 3B Rio Ruiz and RHP Andrew Thurman."
Lars Huijer,Seattle Mariners,Chicago Cubs,609044,Chicago Cubs traded LHP Mike Kickham to Seattle Mariners for RHP Lars Huijer.
Mike Kickham,Chicago Cubs,Seattle Mariners,592464,Chicago Cubs traded LHP Mike Kickham to Seattle Mariners for RHP Lars Huijer.
Dan Butler,Boston Red Sox,Washington Nationals,576788,Washington Nationals traded LHP Danny Rosenbaum to Boston Red Sox for C Dan Butler.
Danny Rosenbaum,Washington Nationals,Boston Red Sox,572095,Washington Nationals traded LHP Danny Rosenbaum to Boston Red Sox for C Dan Butler.
Andrew Thurman,Houston Astros,Atlanta Braves,592806,"Atlanta Braves traded DH Evan Gattis and RHP James Hoyt to Houston Astros for RHP Mike Foltynewicz, 3B Rio Ruiz and RHP Andrew Thurman."
Yunel Escobar,Oakland Athletics,Washington Nationals,488862,Washington Nationals traded RHP Tyler Clippard to Oakland Athletics for 3B Yunel Escobar.
Tyler Clippard,Washington Nationals,Oakland Athletics,461325,Washington Nationals traded RHP Tyler Clippard to Oakland Athletics for 3B Yunel Escobar.
Rio Ruiz,Houston Astros,Atlanta Braves,547004,"Atlanta Braves traded DH Evan Gattis and RHP James Hoyt to Houston Astros for RHP Mike Foltynewicz, 3B Rio Ruiz and RHP Andrew Thurman."
Evan Gattis,Atlanta Braves,Houston Astros,594828,"Atlanta Braves traded DH Evan Gattis and RHP James Hoyt to Houston Astros for RHP Mike Foltynewicz, 3B Rio Ruiz and RHP Andrew Thurman."
Dexter Fowler,Houston Astros,Chicago Cubs,451594,Chicago Cubs traded RHP Dan Straily and 3B Luis Valbuena to Houston Astros for CF Dexter Fowler.
Luis Valbuena,Chicago Cubs,Houston Astros,472528,Chicago Cubs traded RHP Dan Straily and 3B Luis Valbuena to Houston Astros for CF Dexter Fowler.
Luis Sardinas,Texas Rangers,Milwaukee Brewers,596143,"Milwaukee Brewers traded cash and RHP Yovani Gallardo to Texas Rangers for RHP Corey Knebel, SS Luis Sardinas and RHP Marcos Diplan."
Corey Knebel,Texas Rangers,Milwaukee Brewers,608349,"Milwaukee Brewers traded cash and RHP Yovani Gallardo to Texas Rangers for RHP Corey Knebel, SS Luis Sardinas and RHP Marcos Diplan."
Yovani Gallardo,Milwaukee Brewers,Texas Rangers,451596,"Milwaukee Brewers traded cash and RHP Yovani Gallardo to Texas Rangers for RHP Corey Knebel, SS Luis Sardinas and RHP Marcos Diplan."
Dan Straily,Chicago Cubs,Houston Astros,573185,Chicago Cubs traded RHP Dan Straily and 3B Luis Valbuena to Houston Astros for CF Dexter Fowler.
Marcos Diplan,Texas Rangers,Milwaukee Brewers,650959,"Milwaukee Brewers traded cash and RHP Yovani Gallardo to Texas Rangers for RHP Corey Knebel, SS Luis Sardinas and RHP Marcos Diplan."
Gonzalez Germen,New York Yankees,Texas Rangers,542674,New York Yankees traded RHP Gonzalez Germen to Texas Rangers for cash.
Akeem Bostick,Texas Rangers,Houston Astros,641384,Houston Astros traded C Carlos Corporan to Texas Rangers for RHP Akeem Bostick.
Carlos Corporan,Houston Astros,Texas Rangers,449786,Houston Astros traded C Carlos Corporan to Texas Rangers for RHP Akeem Bostick.
Hiram Martinez,Texas Rangers,Tigres de Quintana Roo,596848,Texas Rangers traded 3B Hiram Martinez to Tigres de Quintana Roo for cash.
Mike Marjama,Chicago White Sox,Tampa Bay Rays,605357,Chicago White Sox traded C Mike Marjama to Tampa Bay Rays for Player To Be Named Later.
Hector Daniel Rodriguez,Atlanta Braves,Baltimore Orioles,496073,Atlanta Braves traded LHP Hector Daniel Rodriguez to Baltimore Orioles for cash.
Stephen Tarpley,Baltimore Orioles,Pittsburgh Pirates,605501,Pittsburgh Pirates traded LF Travis Snider to Baltimore Orioles for LHP Stephen Tarpley and Player To Be Named Later.
