name,from_team,team,player_id,note
Joe Martinez,Pittsburgh Pirates,Cleveland Indians,458155,Pittsburgh Pirates traded RHP Joe Martinez to Cleveland Indians.
Matt Garza,Tampa Bay Rays,Chicago Cubs,490063,"Hudson Valley Renegades Traded LHP Zac Rosscup to Boise Hawks; Tampa Bay Rays Traded CF Fernando Perez and RHP Matt Garza to Chicago Cubs; Peoria Chiefs Traded SS Hak-Ju Lee to Bowling Green Hot Rods and Chicago Cubs Traded RF Brandon Guyer, RHP Chris Archer, C Robinson Chirinos and LF Sam Fuld to Tampa Bay Rays."
Fernando Perez,Tampa Bay Rays,Chicago Cubs,445010,"Hudson Valley Renegades Traded LHP Zac Rosscup to Boise Hawks; Tampa Bay Rays Traded CF Fernando Perez and RHP Matt Garza to Chicago Cubs; Peoria Chiefs Traded SS Hak-Ju Lee to Bowling Green Hot Rods and Chicago Cubs Traded RF Brandon Guyer, RHP Chris Archer, C Robinson Chirinos and LF Sam Fuld to Tampa Bay Rays."
Robinson Chirinos,Chicago Cubs,Tampa Bay Rays,455139,"Hudson Valley Renegades Traded LHP Zac Rosscup to Boise Hawks; Tampa Bay Rays Traded CF Fernando Perez and RHP Matt Garza to Chicago Cubs; Peoria Chiefs Traded SS Hak-Ju Lee to Bowling Green Hot Rods and Chicago Cubs Traded RF Brandon Guyer, RHP Chris Archer, C Robinson Chirinos and LF Sam Fuld to Tampa Bay Rays."
Sam Fuld,Chicago Cubs,Tampa Bay Rays,453539,"Hudson Valley Renegades Traded LHP Zac Rosscup to Boise Hawks; Tampa Bay Rays Traded CF Fernando Perez and RHP Matt Garza to Chicago Cubs; Peoria Chiefs Traded SS Hak-Ju Lee to Bowling Green Hot Rods and Chicago Cubs Traded RF Brandon Guyer, RHP Chris Archer, C Robinson Chirinos and LF Sam Fuld to Tampa Bay Rays."
Brandon Guyer,Chicago Cubs,Tampa Bay Rays,446386,"Hudson Valley Renegades Traded LHP Zac Rosscup to Boise Hawks; Tampa Bay Rays Traded CF Fernando Perez and RHP Matt Garza to Chicago Cubs; Peoria Chiefs Traded SS Hak-Ju Lee to Bowling Green Hot Rods and Chicago Cubs Traded RF Brandon Guyer, RHP Chris Archer, C Robinson Chirinos and LF Sam Fuld to Tampa Bay Rays."
Guillermo Moscoso,Texas Rangers,Oakland Athletics,446861,Texas Rangers Traded RHP Guillermo Moscoso to Oakland Athletics and Burlington Bees Traded RHP Ryan Kelly to Hickory Crawdads.
Chris Archer,Chicago Cubs,Tampa Bay Rays,502042,"Hudson Valley Renegades Traded LHP Zac Rosscup to Boise Hawks; Tampa Bay Rays Traded CF Fernando Perez and RHP Matt Garza to Chicago Cubs; Peoria Chiefs Traded SS Hak-Ju Lee to Bowling Green Hot Rods and Chicago Cubs Traded RF Brandon Guyer, RHP Chris Archer, C Robinson Chirinos and LF Sam Fuld to Tampa Bay Rays."
Sergio Escalona,Philadelphia Phillies,Houston Astros,465065,Philadelphia Phillies traded LHP Sergio Escalona to Houston Astros for 2B Albert Cartwright.
Albert Cartwright,Houston Astros,Philadelphia Phillies,502619,Philadelphia Phillies traded LHP Sergio Escalona to Houston Astros for 2B Albert Cartwright.
