name,from_team,team,player_id,note
Hiram Martinez,Oakland Athletics,Miami Marlins,596848,Oakland Athletics traded SS Hiram Martinez to Miami Marlins for cash.
Matt Andriese,San Diego Padres,Tampa Bay Rays,542882,"San Diego Padres traded 2B Logan Forsythe, RHP Brad Boxberger, Matt Andriese, RHP Matt Lollis and SS Maxx Tissenbaum to Tampa Bay Rays for LHP Alex Torres and RHP Jesse Hahn."
Maxx Tissenbaum,San Diego Padres,Tampa Bay Rays,573209,"San Diego Padres traded 2B Logan Forsythe, RHP Brad Boxberger, Matt Andriese, RHP Matt Lollis and SS Maxx Tissenbaum to Tampa Bay Rays for LHP Alex Torres and RHP Jesse Hahn."
Matt Lollis,San Diego Padres,Tampa Bay Rays,571896,"San Diego Padres traded 2B Logan Forsythe, RHP Brad Boxberger, Matt Andriese, RHP Matt Lollis and SS Maxx Tissenbaum to Tampa Bay Rays for LHP Alex Torres and RHP Jesse Hahn."
Brad Boxberger,San Diego Padres,Tampa Bay Rays,502202,"San Diego Padres traded 2B Logan Forsythe, RHP Brad Boxberger, Matt Andriese, RHP Matt Lollis and SS Maxx Tissenbaum to Tampa Bay Rays for LHP Alex Torres and RHP Jesse Hahn."
Jesse Hahn,Tampa Bay Rays,San Diego Padres,534910,"San Diego Padres traded 2B Logan Forsythe, RHP Brad Boxberger, Matt Andriese, RHP Matt Lollis and SS Maxx Tissenbaum to Tampa Bay Rays for LHP Alex Torres and RHP Jesse Hahn."
Alex Torres,Tampa Bay Rays,San Diego Padres,456776,"San Diego Padres traded 2B Logan Forsythe, RHP Brad Boxberger, Matt Andriese, RHP Matt Lollis and SS Maxx Tissenbaum to Tampa Bay Rays for LHP Alex Torres and RHP Jesse Hahn."
Logan Forsythe,San Diego Padres,Tampa Bay Rays,523253,"San Diego Padres traded 2B Logan Forsythe, RHP Brad Boxberger, Matt Andriese, RHP Matt Lollis and SS Maxx Tissenbaum to Tampa Bay Rays for LHP Alex Torres and RHP Jesse Hahn."
David Huff,New York Yankees,San Francisco Giants,453307,New York Yankees traded LHP David Huff to San Francisco Giants for cash.
Carlos Peguero,Seattle Mariners,Kansas City Royals,451713,Seattle Mariners traded RF Carlos Peguero to Kansas City Royals for Player To Be Named Later.
Drew Vettleson,Tampa Bay Rays,Washington Nationals,592828,"Tampa Bay Rays traded C Jose Lobaton, LHP Felipe Rivero and RF Drew Vettleson to Washington Nationals for RHP Nathan Karns."
Felipe Rivero,Tampa Bay Rays,Washington Nationals,553878,"Tampa Bay Rays traded C Jose Lobaton, LHP Felipe Rivero and RF Drew Vettleson to Washington Nationals for RHP Nathan Karns."
Jose Lobaton,Tampa Bay Rays,Washington Nationals,446653,"Tampa Bay Rays traded C Jose Lobaton, LHP Felipe Rivero and RF Drew Vettleson to Washington Nationals for RHP Nathan Karns."
Nathan Karns,Washington Nationals,Tampa Bay Rays,501992,"Tampa Bay Rays traded C Jose Lobaton, LHP Felipe Rivero and RF Drew Vettleson to Washington Nationals for RHP Nathan Karns."
Jake Elmore,Chicago White Sox,Oakland Athletics,518653,Chicago White Sox traded SS Jake Elmore to Oakland Athletics for cash.
Justin Sellers,Los Angeles Dodgers,Cleveland Indians,451088,Los Angeles Dodgers traded SS Justin Sellers to Cleveland Indians for cash.
Zach Stewart,Chicago White Sox,Atlanta Braves,543819,Chicago White Sox traded RHP Zach Stewart to Atlanta Braves for cash.
Brandon Laird,Kansas City Royals,Washington Nationals,477186,Kansas City Royals traded 3B Brandon Laird to Washington Nationals for Player To Be Named Later.
Koyie Hill,Washington Nationals,Philadelphia Phillies,425542,Washington Nationals traded C Koyie Hill to Philadelphia Phillies for Player To Be Named Later.
