name,from_team,team,player_id,note
Jeanmar Gomez,Cleveland Indians,Pittsburgh Pirates,491646,Cleveland Indians traded RHP Jeanmar Gomez to Pittsburgh Pirates for LF Quincy Latimore.
Quincy Latimore,Pittsburgh Pirates,Cleveland Indians,518921,Cleveland Indians traded RHP Jeanmar Gomez to Pittsburgh Pirates for LF Quincy Latimore.
Blake Treinen,Oakland Athletics,Washington Nationals,595014,Washington Nationals Traded LF Michael Morse to Seattle Mariners; Seattle Mariners Traded C John Jaso to Oakland Athletics and Oakland Athletics Traded RHP A.J. Cole and RHP Blake Treinen to Washington Nationals.
John Jaso,Seattle Mariners,Oakland Athletics,444379,Washington Nationals Traded LF Michael Morse to Seattle Mariners; Seattle Mariners Traded C John Jaso to Oakland Athletics and Oakland Athletics Traded RHP A.J. Cole and RHP Blake Treinen to Washington Nationals.
A.J. Cole,Oakland Athletics,Washington Nationals,595918,Washington Nationals Traded LF Michael Morse to Seattle Mariners; Seattle Mariners Traded C John Jaso to Oakland Athletics and Oakland Athletics Traded RHP A.J. Cole and RHP Blake Treinen to Washington Nationals.
Michael Morse,Washington Nationals,Seattle Mariners,434604,Washington Nationals Traded LF Michael Morse to Seattle Mariners; Seattle Mariners Traded C John Jaso to Oakland Athletics and Oakland Athletics Traded RHP A.J. Cole and RHP Blake Treinen to Washington Nationals.
Brandon Drury,Atlanta Braves,Arizona Diamondbacks,592273,"Arizona Diamondbacks traded LF Justin Upton and 3B Chris Johnson to Atlanta Braves for 3B Martin Prado, RHP Randall Delgado, RHP Zeke Spruill, SS Nick Ahmed and 3B Brandon Drury."
Nick Ahmed,Atlanta Braves,Arizona Diamondbacks,605113,"Arizona Diamondbacks traded LF Justin Upton and 3B Chris Johnson to Atlanta Braves for 3B Martin Prado, RHP Randall Delgado, RHP Zeke Spruill, SS Nick Ahmed and 3B Brandon Drury."
Zeke Spruill,Atlanta Braves,Arizona Diamondbacks,543809,"Arizona Diamondbacks traded LF Justin Upton and 3B Chris Johnson to Atlanta Braves for 3B Martin Prado, RHP Randall Delgado, RHP Zeke Spruill, SS Nick Ahmed and 3B Brandon Drury."
Randall Delgado,Atlanta Braves,Arizona Diamondbacks,517414,"Arizona Diamondbacks traded LF Justin Upton and 3B Chris Johnson to Atlanta Braves for 3B Martin Prado, RHP Randall Delgado, RHP Zeke Spruill, SS Nick Ahmed and 3B Brandon Drury."
Martin Prado,Atlanta Braves,Arizona Diamondbacks,445988,"Arizona Diamondbacks traded LF Justin Upton and 3B Chris Johnson to Atlanta Braves for 3B Martin Prado, RHP Randall Delgado, RHP Zeke Spruill, SS Nick Ahmed and 3B Brandon Drury."
Chris Johnson,Arizona Diamondbacks,Atlanta Braves,453400,"Arizona Diamondbacks traded LF Justin Upton and 3B Chris Johnson to Atlanta Braves for 3B Martin Prado, RHP Randall Delgado, RHP Zeke Spruill, SS Nick Ahmed and 3B Brandon Drury."
Justin Upton,Arizona Diamondbacks,Atlanta Braves,457708,"Arizona Diamondbacks traded LF Justin Upton and 3B Chris Johnson to Atlanta Braves for 3B Martin Prado, RHP Randall Delgado, RHP Zeke Spruill, SS Nick Ahmed and 3B Brandon Drury."
Chris Carter,Oakland Athletics,Houston Astros,474892,"Houston Astros traded SS Jed Lowrie and RHP Fernando Rodriguez to Oakland Athletics for 1B Chris Carter, RHP Brad Peacock and C Max Stassi."
Max Stassi,Oakland Athletics,Houston Astros,545358,"Houston Astros traded SS Jed Lowrie and RHP Fernando Rodriguez to Oakland Athletics for 1B Chris Carter, RHP Brad Peacock and C Max Stassi."
Brad Peacock,Oakland Athletics,Houston Astros,502748,"Houston Astros traded SS Jed Lowrie and RHP Fernando Rodriguez to Oakland Athletics for 1B Chris Carter, RHP Brad Peacock and C Max Stassi."
Jed Lowrie,Houston Astros,Oakland Athletics,476704,"Houston Astros traded SS Jed Lowrie and RHP Fernando Rodriguez to Oakland Athletics for 1B Chris Carter, RHP Brad Peacock and C Max Stassi."
Fernando Rodriguez,Houston Astros,Oakland Athletics,451775,"Houston Astros traded SS Jed Lowrie and RHP Fernando Rodriguez to Oakland Athletics for 1B Chris Carter, RHP Brad Peacock and C Max Stassi."
Elliot Johnson,Tampa Bay Rays,Kansas City Royals,471107,Tampa Bay Rays traded 2B Elliot Johnson to Kansas City Royals.
Abraham Almonte,New York Yankees,Seattle Mariners,501659,Seattle Mariners traded RHP Shawn Kelley to New York Yankees for CF Abraham Almonte.
Shawn Kelley,Seattle Mariners,New York Yankees,518875,Seattle Mariners traded RHP Shawn Kelley to New York Yankees for CF Abraham Almonte.
Reid Brignac,Tampa Bay Rays,Colorado Rockies,458582,Tampa Bay Rays traded SS Reid Brignac to Colorado Rockies.
Tony Campana,Chicago Cubs,Arizona Diamondbacks,542999,Chicago Cubs traded CF Tony Campana to Arizona Diamondbacks for RHP Jesus Castillo and RHP Erick Leal.
Jesus Castillo,Arizona Diamondbacks,Chicago Cubs,612792,Chicago Cubs traded CF Tony Campana to Arizona Diamondbacks for RHP Jesus Castillo and RHP Erick Leal.
Erick Leal,Arizona Diamondbacks,Chicago Cubs,612797,Chicago Cubs traded CF Tony Campana to Arizona Diamondbacks for RHP Jesus Castillo and RHP Erick Leal.
Mike Carp,Seattle Mariners,Boston Red Sox,455077,Seattle Mariners traded 1B Mike Carp to Boston Red Sox.
Conor Gillaspie,San Francisco Giants,Chicago White Sox,543216,San Francisco Giants traded 3B Conor Gillaspie to Chicago White Sox for RHP Jeff Soptic.
Jeff Soptic,Chicago White Sox,San Francisco Giants,573168,San Francisco Giants traded 3B Conor Gillaspie to Chicago White Sox for RHP Jeff Soptic.
Michael Schwimer,Philadelphia Phillies,Toronto Blue Jays,543754,Philadelphia Phillies traded RHP Michael Schwimer to Toronto Blue Jays for 1B Art Charles.
Art Charles,Toronto Blue Jays,Philadelphia Phillies,543021,Philadelphia Phillies traded RHP Michael Schwimer to Toronto Blue Jays for 1B Art Charles.
Michael Flacco,Baltimore Orioles,Boston Red Sox,572850,Baltimore Orioles traded 1B Michael Flacco to Boston Red Sox.
Michael Cisco,Philadelphia Phillies,Los Angeles Angels,543025,Philadelphia Phillies traded RHP Michael Cisco to Los Angeles Angels.
